Label,ID,Track ID,Quality,Position X ,Position Y,Position Z,Position T,Frame,Radius,Visibility,Manual Colour,Mean intensity,Median intensity ,Min Intensity,Max intensity,Total intensity,StD,Estimated diameter,Contrast,SNR
ID31654,31654,0,30.048,940.732,144.508,0,0,0,15,1,-10921639,6240.553,5474,3356,11570,8193846,2095.727,14.742,0.248,1.182
ID31460,31460,0,29.867,939.252,144.735,0,480.027,1,15,1,-10921639,6272.994,5617,3667,11613,8236441,2014.094,15.146,0.249,1.24
ID31432,31432,0,29.515,938.357,145.922,0,960.054,2,15,1,-10921639,6276.473,5732,3674,11575,8241009,1935.392,15.255,0.249,1.293
ID31638,31638,0,29.924,934.002,144.669,0,1440.081,3,15,1,-10921639,6336.656,5709,3650,11651,8320029,1982.072,15.462,0.251,1.282
ID31594,31594,0,30.304,931.89,141.049,0,1920.108,4,15,1,-10921639,6376.129,5769,3709,11438,8371858,2023.869,15.837,0.253,1.273
ID31624,31624,0,30.064,932.448,138.502,0,2400.135,5,15,1,-10921639,6393.086,5794,3732,11330,8394122,1925.863,15.566,0.256,1.352
ID31446,31446,0,31.079,935.178,135.403,0,2880.162,6,15,1,-10921639,6440.396,5784,3616,11708,8456240,2046.04,15.837,0.26,1.301
ID31475,31475,0,34.456,945.112,128.146,0,3360.189,7,15,1,-10921639,6552.575,5623,3535,13026,8603531,2478.369,14.448,0.275,1.141
ID31417,31417,0,31.577,944.751,132.076,0,3840.216,8,15,1,-10921639,6468.771,5845,3540,11503,8493496,2033.492,16.13,0.268,1.346
ID31519,31519,0,30.97,948.341,136.771,0,4320.243,9,15,1,-10921639,6423.124,5823,3519,11403,8433562,1991.818,16.228,0.268,1.364
ID31505,31505,0,32.079,950.104,138.386,0,4800.27,10,15,1,-10921639,6463.648,5789,3517,11976,8486770,2190.193,15.975,0.273,1.265
ID31550,31550,0,33.107,951.011,137.185,0,5280.297,11,15,1,-10921639,6518.15,5791,3492,12317,8558331,2340.387,14.922,0.277,1.207
ID31580,31580,0,33.884,952.318,140.211,0,5760.324,12,15,1,-10921639,6550.065,5780,3305,12735,8600236,2389.489,15.336,0.282,1.207
ID31402,31402,0,33.961,951.431,144.834,0,6240.351,13,15,1,-10921639,6637.167,5962,3548,12327,8714600,2283.768,15.58,0.285,1.289
ID31566,31566,0,33.32,948.943,146.852,0,6720.378,14,15,1,-10921639,6654.914,6040,3429,11639,8737902,2118.084,16.28,0.285,1.393
ID31683,31683,0,38.578,949.646,125.384,0,7200.405,15,15,1,-10921639,6946.627,5992,3452,13925,9120921,2714.907,14.614,0.306,1.2
