Label,ID,Track ID,Quality,Position X ,Position Y,Position Z,Position T,Frame,Radius,Visibility,Manual Colour,Mean intensity,Median intensity ,Min Intensity,Max intensity,Total intensity,StD,Estimated diameter,Contrast,SNR
ID316804,316804,0,2.6,978.914,858.8,0,0,0,15,1,-10921639,2235.709,2223,1710,2833,2935486,197.795,15.128,0.039,0.847
ID316726,316726,0,2.557,977.46,859.19,0,480.017,1,15,1,-10921639,2217.306,2205,1765,2831,2911323,195.351,15.046,0.037,0.81
ID316919,316919,0,2.353,976.437,860.099,0,960.034,2,15,1,-10921639,2192.008,2190,1714,2751,2878106,175.702,15.349,0.036,0.864
ID316765,316765,0,2.42,975.814,860.124,0,1440.051,3,15,1,-10921639,2197.8,2186,1669,2791,2885711,191.724,14.794,0.036,0.791
ID317147,317147,0,2.28,976.133,859.353,0,1920.068,4,15,1,-10921639,2196.928,2193,1686,2830,2884566,182.132,12.564,0.034,0.795
ID316842,316842,0,2.275,976.485,861.299,0,2400.085,5,15,1,-10921639,2198.017,2194,1757,2637,2885996,173.665,15.79,0.035,0.861
ID316495,316495,0,2.616,970.716,869.493,0,2880.102,6,15,1,-10921639,2230.397,2231,1735,2881,2928511,178.831,17.288,0.044,1.041
ID316421,316421,0,2.512,971.2,874.978,0,3360.119,7,15,1,-10921639,2234.434,2230,1653,2855,2933812,185.796,17.095,0.041,0.948
ID316610,316610,0,2.254,974.984,876.471,0,3840.136,8,15,1,-10921639,2206.276,2196,1796,2734,2896841,171.102,15.408,0.034,0.857
ID316458,316458,0,2.197,978.458,875.153,0,4320.153,9,15,1,-10921639,2185.003,2175,1713,2701,2868909,168.944,57,0.033,0.831
ID317033,317033,0,2.264,982.737,876.099,0,4800.17,10,15,1,-10921639,2187.037,2174,1679,2789,2871579,178.96,57,0.032,0.763
ID316533,316533,0,2.239,987.122,872.98,0,5280.187,11,15,1,-10921639,2195.087,2180,1754,2682,2882149,169.668,16.453,0.033,0.833
ID316957,316957,0,2.206,994.974,867.168,0,5760.204,12,15,1,-10921639,2199.152,2199,1719,2708,2887487,174.035,16.119,0.033,0.801
ID317072,317072,0,2.11,994.141,865.274,0,6240.221,13,15,1,-10921639,2181.445,2177,1740,2676,2864237,159.482,57,0.033,0.882
ID316648,316648,0,2.048,996.729,864.413,0,6720.238,14,15,1,-10921639,2184.189,2174,1801,2647,2867840,158.248,20.211,0.033,0.882
ID317109,317109,0,1.961,996.223,865.394,0,7200.255,15,15,1,-10921639,2180.043,2176,1733,2643,2862396,159.733,53.918,0.031,0.808
ID316685,316685,0,2.141,994.806,868.295,0,7680.272,16,15,1,-10921639,2202.721,2198,1681,2785,2892173,169.32,23.793,0.031,0.792
ID316879,316879,0,2.13,995.361,868.346,0,8160.289,17,15,1,-10921639,2197.228,2187,1690,2724,2884960,159.52,15.694,0.033,0.872
ID316571,316571,0,2.217,996.87,869.445,0,8640.306,18,15,1,-10921639,2214.399,2210,1738,2749,2907506,172.01,18.059,0.034,0.857
ID316996,316996,0,2.156,995.362,870.668,0,9120.323,19,15,1,-10921639,2206.154,2203,1676,2799,2896680,175.631,54.051,0.031,0.767
ID317184,317184,0,2.072,997.357,870.457,0,9600.34,20,15,1,-10921639,2198.625,2198,1702,2756,2886794,168.671,57,0.03,0.758
ID317221,317221,0,2.096,1003.575,874.292,0,10080.357,21,15,1,-10921639,2200.23,2192,1688,2842,2888902,169.18,17.14,0.03,0.753
ID317258,317258,0,2.2,1004.638,876.113,0,10560.374,22,15,1,-10921639,2225.545,2231,1804,2767,2922140,168.381,15.789,0.034,0.872
ID317293,317293,0,2.109,1004.997,877.034,0,11040.391,23,15,1,-10921639,2228.167,2229,1791,2729,2925583,163.065,15.978,0.032,0.847
ID317364,317364,0,2.186,1004.276,877.524,0,11520.408,24,15,1,-10921639,2229.85,2232,1769,2663,2927793,159.406,57,0.034,0.924
ID317328,317328,0,2.082,1003.854,877.353,0,12000.425,25,15,1,-10921639,2207.928,2208,1767,2712,2899009,165.705,17.636,0.031,0.79
ID317401,317401,0,1.955,1004.804,876.054,0,12480.442,26,15,1,-10921639,2206.752,2202,1809,2643,2897466,149.394,18.415,0.03,0.869
ID317437,317437,0,1.956,1004.896,877.696,0,12960.459,27,15,1,-10921639,2203.725,2200,1794,2656,2893491,150.993,57,0.03,0.851
ID317589,317589,0,2.106,1006.643,877.342,0,13440.476,28,15,1,-10921639,2204.899,2202,1649,2736,2895033,173.173,53.594,0.033,0.81
ID317477,317477,0,2.065,1011.271,877.123,0,13920.493,29,15,1,-10921639,2201.762,2202,1735,2694,2890913,166.142,53.4,0.031,0.798
ID317626,317626,0,2.017,1022.258,875.229,0,14400.51,30,15,1,-10921639,2189.007,2186,1748,2748,2874166,163.931,18.126,0.031,0.807
ID317551,317551,0,1.97,1028.128,874.073,0,14880.527,31,15,1,-10921639,2206.874,2202,1769,2637,2897625,164.488,24.635,0.03,0.786
ID317514,317514,0,2.022,1023.375,876.068,0,15360.544,32,15,1,-10921639,2197.113,2188,1751,2818,2884810,163.758,54.113,0.031,0.811
ID317701,317701,0,2.045,1021.239,878.286,0,15840.561,33,15,1,-10921639,2196.548,2197,1699,2621,2884067,159.27,57,0.032,0.864
ID317664,317664,0,2.047,1030.114,877.14,0,16320.578,34,15,1,-10921639,2209.39,2202,1669,2746,2900929,159.589,25.717,0.032,0.864
ID317737,317737,0,2.184,1030.522,877.442,0,16800.595,35,15,1,-10921639,2215.781,2215,1776,2706,2909320,165.564,18.946,0.035,0.906
ID317773,317773,0,1.95,1027.916,879.771,0,17280.612,36,15,1,-10921639,2197.596,2203,1657,2715,2885444,159.932,57,0.029,0.763
ID317810,317810,0,2.053,1024.487,882.081,0,17760.629,37,15,1,-10921639,2200.139,2189,1784,2738,2888783,166.59,57,0.031,0.801
ID317846,317846,0,2.126,1021.955,889.748,0,18240.646,38,15,1,-10921639,2220.726,2223,1745,2700,2915813,167.894,20.085,0.032,0.819
ID317883,317883,0,2.013,1023.427,890.169,0,18720.663,39,15,1,-10921639,2208.975,2204,1736,2828,2900384,163.156,18.11,0.029,0.759
ID317919,317919,0,2.039,1023.089,889.227,0,19200.68,40,15,1,-10921639,2199.105,2202,1733,2711,2887425,168.184,16.593,0.031,0.789
ID317955,317955,0,2.096,1020.887,892.438,0,19680.697,41,15,1,-10921639,2210.165,2209,1671,2705,2901947,171.089,57,0.031,0.783
ID317990,317990,0,1.948,1019.064,895.493,0,20160.714,42,15,1,-10921639,2197.954,2200,1737,2623,2885914,158.508,20.114,0.03,0.802
ID318093,318093,0,2.065,1017.965,896.379,0,20640.731,43,15,1,-10921639,2201.825,2211,1666,2685,2890996,167.84,15.774,0.031,0.793
ID318060,318060,0,2.132,1016.702,901.745,0,21120.748,44,15,1,-10921639,2199.149,2203,1682,2698,2887483,176.091,15.573,0.031,0.755
ID318026,318026,0,2.068,1021.682,902.356,0,21600.765,45,15,1,-10921639,2210.174,2203,1791,2793,2901959,169.381,20.379,0.031,0.774
ID318129,318129,0,2.061,1026.09,902.853,0,22080.782,46,15,1,-10921639,2208.357,2206,1709,2689,2899573,170.934,15.136,0.031,0.781
ID318163,318163,0,2.044,1027.354,903.341,0,22560.799,47,15,1,-10921639,2208.83,2199,1645,2774,2900194,162.608,16.257,0.031,0.817
