Label,ID,Track ID,Quality,Position X ,Position Y,Position Z,Position T,Frame,Radius,Visibility,Manual Colour,Mean intensity,Median intensity ,Min Intensity,Max intensity,Total intensity,StD,Estimated diameter,Contrast,SNR
ID33698,33698,0,3.423,461.207,749.546,0,0,0,15,1,-10921639,2310.194,2272,1739,3022,3033285,246.701,15.213,0.053,0.95
ID33797,33797,0,3.277,461.245,750.519,0,480.02,1,15,1,-10921639,2299.456,2277,1659,3000,3019186,236.02,15.783,0.052,0.963
ID33896,33896,0,3.013,460.062,750.501,0,960.04,2,15,1,-10921639,2273.9,2251,1726,2960,2985631,217.024,16.082,0.048,0.963
ID34261,34261,0,2.925,458.801,751.961,0,1440.06,3,15,1,-10921639,2250.429,2218,1765,2995,2954813,207.372,14.068,0.046,0.961
ID33960,33960,0,2.881,456.5,752.464,0,1920.08,4,15,1,-10921639,2240.653,2218,1742,2940,2941978,208.851,14.99,0.046,0.936
ID33627,33627,0,2.797,456.775,754.008,0,2400.1,5,15,1,-10921639,2216.515,2201,1561,2835,2910284,215.808,16.565,0.041,0.814
ID33865,33865,0,2.64,454.993,756.095,0,2880.12,6,15,1,-10921639,2218.275,2201,1538,2905,2912595,201.612,11.801,0.041,0.858
ID33662,33662,0,2.599,452.292,758.448,0,3360.14,7,15,1,-10921639,2209.254,2192,1757,2795,2900751,197.403,15.243,0.04,0.862
ID33731,33731,0,2.594,449.283,760.77,0,3840.16,8,15,1,-10921639,2190.337,2173,1650,2707,2875913,191.084,15.725,0.04,0.884
ID34196,34196,0,2.511,446.788,763.688,0,4320.18,9,15,1,-10921639,2181.82,2166,1650,2759,2864730,196.16,12.978,0.039,0.827
ID33764,33764,0,2.433,443.272,767.689,0,4800.2,10,15,1,-10921639,2145.603,2131,1623,2677,2817177,196.222,15.818,0.036,0.76
ID34164,34164,0,2.497,439.894,771.701,0,5280.22,11,15,1,-10921639,2160.615,2155,1707,2724,2836887,184.109,14.996,0.039,0.889
ID33997,33997,0,2.457,436.956,774.522,0,5760.24,12,15,1,-10921639,2145.888,2139,1562,2732,2817551,189.071,57,0.039,0.859
ID33931,33931,0,2.444,439.745,774.974,0,6240.26,13,15,1,-10921639,2146.353,2123,1700,2853,2818162,196.836,15.403,0.039,0.809
ID34131,34131,0,2.52,439.415,776.884,0,6720.28,14,15,1,-10921639,2141.344,2125,1621,2825,2811585,203.388,15.072,0.039,0.783
ID34063,34063,0,2.326,434.655,780.439,0,7200.3,15,15,1,-10921639,2119.8,2106,1516,2715,2783298,191.272,14.472,0.037,0.79
ID33832,33832,0,2.502,425.555,782.95,0,7680.32,16,15,1,-10921639,2121.22,2105,1650,2867,2785162,204.097,10.176,0.039,0.778
ID34230,34230,0,2.47,421.406,782.336,0,8160.34,17,15,1,-10921639,2115.272,2096,1676,2771,2777352,202.72,57,0.039,0.789
ID34097,34097,0,2.319,420.471,780.93,0,8640.36,18,15,1,-10921639,2094.561,2081,1643,2822,2750158,199.043,14.249,0.036,0.733
ID34030,34030,0,2.336,419.087,780.693,0,9120.38,19,15,1,-10921639,2093.857,2076,1606,2723,2749234,193.044,12.746,0.036,0.756
ID34296,34296,0,2.263,416.791,779.361,0,9600.4,20,15,1,-10921639,2084.986,2072,1639,2628,2737587,195.88,57,0.034,0.705
ID34330,34330,0,2.345,415.2,776.285,0,10080.42,21,15,1,-10921639,2093.542,2076,1587,2779,2748821,203.06,10.295,0.036,0.723
ID34394,34394,0,2.294,412.939,774.87,0,10560.44,22,15,1,-10921639,2087.002,2066,1604,2794,2740234,201.341,10.184,0.032,0.652
ID34363,34363,0,2.409,411.182,774.496,0,11040.46,23,15,1,-10921639,2101.16,2082,1580,2791,2758823,204.577,17.08,0.037,0.737
ID34491,34491,0,2.441,416.868,768.489,0,11520.48,24,15,1,-10921639,2113.599,2080,1628,2872,2775155,212.447,12.034,0.035,0.668
ID33684,33684,1,3.31,558.909,451.135,0,0,0,15,1,-10921639,3201.867,3180,2628,4030,4204052,250.122,15.501,0.034,0.847
ID33783,33783,1,2.82,558.866,450.098,0,480.02,1,15,1,-10921639,3170.818,3165,2509,4198,4163284,228.873,18.158,0.027,0.733
ID33882,33882,1,2.743,556.368,446.917,0,960.04,2,15,1,-10921639,3160.158,3161,2585,3762,4149288,229.663,16.313,0.025,0.669
ID34247,34247,1,2.572,556.069,446.188,0,1440.06,3,15,1,-10921639,3128.89,3126,2507,3794,4108232,220.08,57,0.022,0.617
ID33946,33946,1,2.783,554.416,446.908,0,1920.08,4,15,1,-10921639,3132.69,3120,2502,3843,4113222,211.586,14.87,0.027,0.77
ID33612,33612,1,2.837,553.713,447.48,0,2400.1,5,15,1,-10921639,3123.501,3117,2488,3790,4101157,213.463,15.465,0.029,0.827
ID33849,33849,1,3.165,560.362,455.706,0,2880.12,6,15,1,-10921639,3120.397,3097,2454,3932,4097081,240.126,12.701,0.03,0.766
ID33646,33646,1,2.695,564.05,454.703,0,3360.14,7,15,1,-10921639,3087.766,3078,2460,3716,4054237,223.837,55.128,0.025,0.666
ID33715,33715,1,2.575,564.229,451.499,0,3840.16,8,15,1,-10921639,3089.603,3085,2466,3768,4056649,215.129,23.33,0.025,0.707
ID34180,34180,1,2.736,564.217,454.693,0,4320.18,9,15,1,-10921639,3089.905,3089,2546,3630,4057045,206.172,15.188,0.026,0.76
ID33747,33747,1,2.665,568.885,458.451,0,4800.2,10,15,1,-10921639,3049.107,3045,2459,3755,4003478,208.237,14.083,0.025,0.728
ID34147,34147,1,2.696,571.056,456.685,0,5280.22,11,15,1,-10921639,3068.038,3060,2540,3720,4028334,207.298,12.117,0.025,0.726
ID33980,33980,1,2.579,571.901,461.463,0,5760.24,12,15,1,-10921639,3032.692,3027,2413,3715,3981924,210.332,14.59,0.024,0.673
ID33914,33914,1,2.618,570.954,464.424,0,6240.26,13,15,1,-10921639,3028.05,3028,2492,4005,3975829,211.476,54.187,0.026,0.725
