Label,ID,Track ID,Quality,Position X ,Position Y,Position Z,Position T,Frame,Radius,Visibility,Manual Colour,Mean intensity,Median intensity ,Min Intensity,Max intensity,Total intensity,StD,Estimated diameter,Contrast,SNR
ID90113,90113,0,25.675,361.028,662.224,0,0,0,15,1,-10921639,4642.312,3666,2377,10057,6095355,2032.332,13.752,0.275,0.984
ID89825,89825,0,25.141,360.929,663.095,0,480.026,1,15,1,-10921639,4603.922,3653,2410,9508,6044949,1965.767,14.017,0.27,0.997
ID89866,89866,0,24.655,361.988,663.217,0,960.052,2,15,1,-10921639,4544.292,3673,2306,9716,5966655,1921.838,13.867,0.271,1.009
ID89969,89969,0,24.508,363.164,664.942,0,1440.078,3,15,1,-10921639,4545.073,3683,2393,9122,5967681,1885.917,14.297,0.272,1.03
ID90009,90009,0,24.034,365.321,665.806,0,1920.104,4,15,1,-10921639,4519.241,3714,2454,8761,5933764,1832.498,14.065,0.269,1.044
ID89907,89907,0,24.057,366.457,666.007,0,2400.13,5,15,1,-10921639,4510.167,3709,2423,8874,5921849,1843.791,14.014,0.269,1.036
ID90031,90031,0,23.956,366.314,666.74,0,2880.156,6,15,1,-10921639,4519.28,3674,2368,9028,5933814,1820.097,14.633,0.269,1.053
ID89990,89990,0,23.557,366.527,666.751,0,3360.182,7,15,1,-10921639,4511.562,3735,2375,8315,5923681,1748.2,14.637,0.27,1.096
ID89887,89887,0,23.621,367.596,666.632,0,3840.208,8,15,1,-10921639,4507.248,3740,2311,8780,5918016,1774.134,14.768,0.267,1.072
ID89845,89845,0,23.836,368.139,665.18,0,4320.234,9,15,1,-10921639,4518.493,3698,2441,8793,5932781,1823.026,14.584,0.268,1.049
ID89948,89948,0,24.133,369.153,664.963,0,4800.26,10,15,1,-10921639,4514.637,3640,2398,9334,5927718,1900.347,14.285,0.269,1.008
ID89780,89780,0,24.51,368.1,664.644,0,5280.286,11,15,1,-10921639,4551.331,3620,2297,9736,5975897,2010.144,12.964,0.27,0.963
ID90050,90050,0,24.438,366.988,665.273,0,5760.312,12,15,1,-10921639,4549.577,3599,2170,9815,5973594,2002.698,12.874,0.271,0.967
ID89926,89926,0,24.42,362.306,667.148,0,6240.338,13,15,1,-10921639,4545.011,3576,2353,9923,5967600,2021.479,13.989,0.271,0.958
ID89719,89719,0,24.36,358.557,669.992,0,6720.364,14,15,1,-10921639,4535.817,3603,2362,9590,5955528,1967.318,13.871,0.27,0.982
ID89803,89803,0,23.921,354.666,673.225,0,7200.39,15,15,1,-10921639,4482.203,3638,2272,8925,5885132,1901.943,13.958,0.271,1.005
ID89761,89761,0,23.72,350.411,676.912,0,7680.416,16,15,1,-10921639,4440.768,3570,2289,8645,5830729,1871.618,14.129,0.27,1.009
ID89741,89741,0,23.689,346.51,677.712,0,8160.442,17,15,1,-10921639,4455.502,3666,2381,8915,5850074,1817.242,14.489,0.272,1.05
ID90093,90093,0,23.838,342.29,678.596,0,8640.468,18,15,1,-10921639,4447.942,3646,2296,8725,5840148,1816.956,14.764,0.272,1.047
ID90072,90072,0,23.198,344.507,676.295,0,9120.494,19,15,1,-10921639,4426.511,3726,2390,8466,5812009,1691.769,14.901,0.272,1.12
ID90153,90153,0,22.958,347.873,673.008,0,9600.52,20,15,1,-10921639,4442.609,3752,2290,8184,5833146,1656.102,15.439,0.268,1.134
ID90132,90132,0,25.134,354.702,661.311,0,10080.546,21,15,1,-10921639,4557.975,3626,2400,9679,5984621,1956.143,14.534,0.276,1.008
ID90172,90172,0,23.947,354.966,658.475,0,10560.572,22,15,1,-10921639,4573.852,3798,2308,8616,6005468,1775.578,14.906,0.273,1.105
ID90212,90212,0,24.403,356.78,660.326,0,11040.598,23,15,1,-10921639,4582.855,3742,2347,9420,6017289,1890.708,14.435,0.274,1.044
ID90192,90192,0,24.244,359.598,661.851,0,11520.624,24,15,1,-10921639,4556.142,3705,2288,8966,5982215,1879.952,14.43,0.275,1.046
ID90112,90112,1,23.198,161.173,661.006,0,0,0,15,1,-10921639,3890.286,2837,1887,11015,5107945,2152.104,10.459,0.266,0.759
ID89824,89824,1,21.785,161.67,659.317,0,480.026,1,15,1,-10921639,3841.558,2914,2031,9120,5043966,1903.48,11.376,0.259,0.83
ID89865,89865,1,20.062,158.409,662.658,0,960.052,2,15,1,-10921639,3747.777,2929,1931,8341,4920831,1650.399,13.549,0.253,0.917
ID89970,89970,1,20.12,153.385,665.103,0,1440.078,3,15,1,-10921639,3693.922,2818,1920,8524,4850119,1755.599,11.718,0.254,0.852
ID90010,90010,1,20.046,148.861,666.623,0,1920.104,4,15,1,-10921639,3659.37,2784,1885,8823,4804753,1847.392,10.38,0.253,0.8
ID89906,89906,1,19.656,144.82,664.592,0,2400.13,5,15,1,-10921639,3646.452,2805,1846,9271,4787791,1807.155,10.439,0.252,0.812
ID90030,90030,1,18.942,143.538,662.353,0,2880.156,6,15,1,-10921639,3636.574,2923,1871,7569,4774822,1575.211,12.995,0.249,0.921
ID89989,89989,1,18.845,143.423,662.686,0,3360.182,7,15,1,-10921639,3624.908,2909,1879,7611,4759504,1536.553,13.619,0.251,0.946
ID89886,89886,1,18.72,142.418,660.392,0,3840.208,8,15,1,-10921639,3641.533,2898,1882,7717,4781333,1509.78,14.337,0.25,0.964
ID89844,89844,1,19.301,141.939,662.421,0,4320.234,9,15,1,-10921639,3660.153,2840,1874,7993,4805781,1626.906,13.515,0.253,0.908
ID89947,89947,1,19.257,142.099,663.513,0,4800.26,10,15,1,-10921639,3648.593,2840,1829,8346,4790603,1631.132,12.575,0.254,0.907
ID89781,89781,1,19.305,143.433,667.423,0,5280.286,11,15,1,-10921639,3655.302,2844,1851,8042,4799411,1629.499,13.388,0.254,0.908
ID90051,90051,1,19.427,143.907,669.533,0,5760.312,12,15,1,-10921639,3655.467,2891,1815,8160,4799628,1641.197,13.013,0.256,0.908
ID89927,89927,1,19.229,143.402,669.745,0,6240.338,13,15,1,-10921639,3664.306,2921,1932,7578,4811234,1589.515,13.739,0.255,0.938
ID89720,89720,1,19.295,143.037,671.047,0,6720.364,14,15,1,-10921639,3683.056,2928,1939,7953,4835853,1575.126,13.82,0.257,0.955
ID89802,89802,1,19.091,142.69,668.705,0,7200.39,15,15,1,-10921639,3661.89,2917,1835,7721,4808061,1531.359,14.203,0.257,0.979
ID89760,89760,1,20.41,140.166,657.062,0,7680.416,16,15,1,-10921639,3713.717,2866,1929,8135,4876110,1696.808,13.44,0.263,0.911
ID89740,89740,1,20.456,142.272,655.619,0,8160.442,17,15,1,-10921639,3734.145,2909,1980,8409,4902933,1746.681,12.385,0.264,0.892
ID90092,90092,1,21.749,140.191,649.576,0,8640.468,18,15,1,-10921639,3783.107,2797,1903,9632,4967220,1969.673,10.427,0.268,0.812
ID90071,90071,1,21.504,146.367,648.004,0,9120.494,19,15,1,-10921639,3777.557,2855,1928,9366,4959932,1902.045,11.58,0.266,0.834
ID90152,90152,1,22.483,159.357,662.03,0,9600.52,20,15,1,-10921639,3797.912,2780,1784,10886,4986658,2099.746,10.392,0.265,0.758
ID90133,90133,1,21.127,166.947,665.106,0,10080.546,21,15,1,-10921639,3787.24,2907,1876,8733,4972646,1833.345,11.785,0.261,0.854
ID90173,90173,1,21.405,171.366,668.076,0,10560.572,22,15,1,-10921639,3792.93,2890,1967,9390,4980117,1902.656,11.122,0.258,0.818
ID90213,90213,1,22.033,177.893,672.87,0,11040.598,23,15,1,-10921639,3799.688,2809,1960,9949,4988990,2024.307,10.332,0.258,0.77
ID90193,90193,1,19.922,178.147,672.632,0,11520.624,24,15,1,-10921639,3722.847,2903,1917,7958,4888098,1663.358,13.298,0.253,0.903
ID90313,90313,1,19.475,179.367,674.385,0,12000.65,25,15,1,-10921639,3689.497,2894,1878,8414,4844309,1625.415,12.76,0.247,0.899
ID90233,90233,1,19.815,183.902,680.896,0,12480.676,26,15,1,-10921639,3680.284,2852,1944,8288,4832213,1690.221,12.605,0.248,0.866
ID90253,90253,1,23.022,190.874,678.18,0,12960.702,27,15,1,-10921639,3748.45,2627,1994,13113,4921715,2451.011,9.459,0.255,0.621
ID90293,90293,1,24.031,192.251,681.411,0,13440.728,28,15,1,-10921639,3767.286,2588,1830,14027,4946446,2691.359,9.286,0.26,0.578
ID90353,90353,1,22.698,193.895,684.171,0,13920.754,29,15,1,-10921639,3681.814,2565,1858,15051,4834222,2594.727,9.211,0.252,0.571
ID90273,90273,1,20.145,195.274,684.416,0,14400.78,30,15,1,-10921639,3568.883,2643,1882,12592,4685943,2121.72,9.66,0.235,0.641
ID90333,90333,1,18.811,195.23,679.615,0,14880.806,31,15,1,-10921639,3543.981,2694,1918,9956,4653247,1827.055,10.099,0.229,0.723
ID90373,90373,1,17.416,195.479,678.608,0,15360.832,32,15,1,-10921639,3526.007,2796,1984,7915,4629647,1523.202,12.501,0.225,0.851
ID90412,90412,1,16.977,195.56,676.56,0,15840.858,33,15,1,-10921639,3519.139,2828,1914,8120,4620630,1424.34,12.75,0.222,0.899
ID90393,90393,1,16.969,196.324,677.173,0,16320.884,34,15,1,-10921639,3512.858,2834,2040,7505,4612382,1406.793,12.558,0.223,0.912
ID90469,90469,1,17.056,197.171,675.464,0,16800.91,35,15,1,-10921639,3535.99,2896,1951,7519,4642755,1370.643,13.608,0.224,0.943
ID90450,90450,1,18.359,197.102,677.565,0,17280.936,36,15,1,-10921639,3569.43,2797,1877,8986,4686661,1617.252,10.469,0.228,0.82
ID90507,90507,1,18.415,197.268,679.515,0,17760.962,37,15,1,-10921639,3573.534,2782,1951,8641,4692050,1594.832,11.581,0.232,0.844
ID90431,90431,1,19.914,194.083,683.248,0,18240.988,38,15,1,-10921639,3624.432,2749,1842,9328,4758879,1841.202,10.471,0.239,0.761
ID90488,90488,1,20.391,191.51,684.394,0,18721.014,39,15,1,-10921639,3642.207,2753,1819,9967,4782218,1896.565,10.319,0.245,0.757
ID90545,90545,1,21.961,188.067,679.894,0,19201.04,40,15,1,-10921639,3706.033,2660,1876,11931,4866021,2207.061,9.826,0.253,0.678
ID90526,90526,1,20.561,187.892,670.609,0,19681.066,41,15,1,-10921639,3735.24,2880,1920,8996,4904370,1770.579,12.149,0.255,0.857
ID90563,90563,1,21.395,191.966,671.209,0,20161.092,42,15,1,-10921639,3795.896,2826,2032,9235,4984012,1886.279,10.725,0.258,0.826
ID90602,90602,1,21,191.368,677.072,0,20641.118,43,15,1,-10921639,3802.663,2961,1891,8986,4992896,1751.985,12.563,0.262,0.9
ID90583,90583,1,20.321,189.478,680.143,0,21121.144,44,15,1,-10921639,3779.462,3007,1826,8178,4962433,1608.891,13.734,0.262,0.975
ID90661,90661,1,19.855,187.72,682.747,0,21601.17,45,15,1,-10921639,3739.283,3003,1940,7368,4909679,1539.948,14.31,0.263,1.012
